Model,threshold,PR_AUC,Precision,Recall,F1
Hybrid SVM (TF-IDF + 2 credibility indicators),0.40000000000000013,0.947849462570195,0.9478260869565217,0.8384615384615385,0.889795918367347
SVM (TF-IDF),0.3500000000000001,0.9266424587555332,0.905982905982906,0.8153846153846154,0.8582995951417004
Logistic Regression (CountVectorizer),0.6000000000000002,0.8884838494416134,0.864406779661017,0.7846153846153846,0.8225806451612904
Logistic Regression (TF-IDF),0.6500000000000001,0.906006716174722,0.9065420560747663,0.7461538461538462,0.8185654008438819
Random Forest (TF-IDF),0.25,0.8919559204562164,0.824,0.7923076923076923,0.807843137254902
MultinomialNB (CountVectorizer),0.3500000000000001,0.7585746455506596,0.83,0.6384615384615384,0.7217391304347827
MultinomialNB (TF-IDF),0.1,0.5148460516911543,1.0,0.1538461538461538,0.2666666666666666
